,Year,Player,Team,League
0,1973-74,Swen Nater,2,ABA
0,1973-74,Dan Issel,2,ABA
0,1973-74,Willie Wise,2,ABA
0,1973-74,Ron Boone,2,ABA
0,1973-74,Louie Dampier,2,ABA
0,1972-73,Kareem Abdul-Jabbar,1,NBA
0,1972-73,John Havlicek,1,NBA
0,1972-73,Spencer Haywood,1,NBA
0,1972-73,Tiny Archibald,1,NBA
0,1972-73,Jerry West,1,NBA
0,1972-73,Dave Cowens,2,NBA
0,1972-73,Rick Barry,2,NBA
0,1972-73,Elvin Hayes,2,NBA
0,1972-73,Walt Frazier,2,NBA
0,1972-73,Pete Maravich,2,NBA
0,1972-73,Artis Gilmore,1,ABA
0,1972-73,Billy Cunningham,1,ABA
0,1972-73,Julius Erving,1,ABA
0,1972-73,Warren Jabali,1,ABA
0,1972-73,Jimmy Jones,1,ABA
0,1972-73,Mel Daniels,2,ABA
0,1972-73,Dan Issel,2,ABA
0,1972-73,George McGinnis,2,ABA
0,1972-73,Mack Calvin,2,ABA
0,1972-73,Ralph Simpson,2,ABA
0,1971-72,Kareem Abdul-Jabbar,1,NBA
0,1971-72,John Havlicek,1,NBA
0,1971-72,Spencer Haywood,1,NBA
0,1971-72,Walt Frazier,1,NBA
0,1971-72,Jerry West,1,NBA
0,1971-72,Wilt Chamberlain,2,NBA
0,1971-72,Billy Cunningham,2,NBA
0,1971-72,Bob Love,2,NBA
0,1971-72,Tiny Archibald,2,NBA
0,1971-72,Archie Clark,2,NBA
0,1971-72,Artis Gilmore,1,ABA
0,1971-72,Rick Barry,1,ABA
0,1971-72,Dan Issel,1,ABA
0,1971-72,Donnie Freeman,1,ABA
0,1971-72,Bill Melchionni,1,ABA
0,1971-72,Zelmo Beaty,2,ABA
0,1971-72,Julius Erving,2,ABA
0,1971-72,Willie Wise,2,ABA
0,1971-72,Charlie Scott,2,ABA
0,1971-72,Ralph Simpson,2,ABA
0,1970-71,Kareem Abdul-Jabbar,1,NBA
0,1970-71,Billy Cunningham,1,NBA
0,1970-71,John Havlicek,1,NBA
0,1970-71,Dave Bing,1,NBA
0,1970-71,Jerry West,1,NBA
0,1970-71,Willis Reed,2,NBA
0,1970-71,Gus Johnson,2,NBA
0,1970-71,Bob Love,2,NBA
0,1970-71,Walt Frazier,2,NBA
0,1970-71,Oscar Robertson,2,NBA
0,1970-71,Mel Daniels,1,ABA
0,1970-71,Rick Barry,1,ABA
0,1970-71,Roger Brown,1,ABA
0,1970-71,Mack Calvin,1,ABA
0,1970-71,Charlie Scott,1,ABA
0,1970-71,John Brisker,2,ABA
0,1970-71,Joe Caldwell,2,ABA
0,1970-71,Larry Cannon,2,ABA
0,1970-71,Donnie Freeman,2,ABA
0,1970-71,"Zelmo Beaty C, Dan Issel C (",2,ABA
0,1969-70,Willis Reed,1,NBA
0,1969-70,Billy Cunningham,1,NBA
0,1969-70,Connie Hawkins,1,NBA
0,1969-70,Walt Frazier,1,NBA
0,1969-70,Jerry West,1,NBA
0,1969-70,Kareem Abdul-Jabbar,2,NBA
0,1969-70,John Havlicek,2,NBA
0,1969-70,Gus Johnson,2,NBA
0,1969-70,Lou Hudson,2,NBA
0,1969-70,Oscar Robertson,2,NBA
0,1969-70,Mel Daniels,1,ABA
0,1969-70,Rick Barry,1,ABA
0,1969-70,Spencer Haywood,1,ABA
0,1969-70,Larry Jones,1,ABA
0,1969-70,Bob Verga,1,ABA
0,1969-70,Red Robbins,2,ABA
0,1969-70,Roger Brown,2,ABA
0,1969-70,Bob Netolicky,2,ABA
0,1969-70,Louie Dampier,2,ABA
0,1969-70,Donnie Freeman,2,ABA
0,1968-69,Wes Unseld,1,NBA
0,1968-69,Elgin Baylor,1,NBA
0,1968-69,Billy Cunningham,1,NBA
0,1968-69,Earl Monroe,1,NBA
0,1968-69,Oscar Robertson,1,NBA
0,1968-69,Willis Reed,2,NBA
0,1968-69,Dave DeBusschere,2,NBA
0,1968-69,John Havlicek,2,NBA
0,1968-69,Hal Greer,2,NBA
0,1968-69,Jerry West,2,NBA
0,1968-69,Mel Daniels,1,ABA
0,1968-69,Rick Barry,1,ABA
0,1968-69,Connie Hawkins,1,ABA
0,1968-69,Jimmy Jones,1,ABA
0,1968-69,Larry Jones,1,ABA
0,1968-69,Red Robbins,2,ABA
0,1968-69,John Beasley,2,ABA
0,1968-69,Doug Moe,2,ABA
0,1968-69,Louie Dampier,2,ABA
0,1968-69,Donnie Freeman,2,ABA
0,1967-68,Wilt Chamberlain,1,NBA
0,1967-68,Elgin Baylor,1,NBA
0,1967-68,Jerry Lucas,1,NBA
0,1967-68,Dave Bing,1,NBA
0,1967-68,Oscar Robertson,1,NBA
0,1967-68,Bill Russell,2,NBA
0,1967-68,John Havlicek,2,NBA
0,1967-68,Willis Reed,2,NBA
0,1967-68,Hal Greer,2,NBA
0,1967-68,Jerry West,2,NBA
0,1967-68,Mel Daniels,1,ABA
0,1967-68,Connie Hawkins,1,ABA
0,1967-68,Doug Moe,1,ABA
0,1967-68,Larry Jones,1,ABA
0,1967-68,Charles Williams,1,ABA
0,1967-68,John Beasley,2,ABA
0,1967-68,Roger Brown,2,ABA
0,1967-68,Cincinnatus Powell,2,ABA
0,1967-68,Larry Brown,2,ABA
0,1967-68,Louie Dampier,2,ABA
0,1966-67,Wilt Chamberlain,1,NBA
0,1966-67,Rick Barry,1,NBA
0,1966-67,Elgin Baylor,1,NBA
0,1966-67,Oscar Robertson,1,NBA
0,1966-67,Jerry West,1,NBA
0,1966-67,Bill Russell,2,NBA
0,1966-67,Jerry Lucas,2,NBA
0,1966-67,Willis Reed,2,NBA
0,1966-67,Hal Greer,2,NBA
0,1966-67,Sam Jones,2,NBA
0,1965-66,Wilt Chamberlain,1,NBA
0,1965-66,Rick Barry,1,NBA
0,1965-66,Jerry Lucas,1,NBA
0,1965-66,Oscar Robertson,1,NBA
0,1965-66,Jerry West,1,NBA
0,1965-66,Bill Russell,2,NBA
0,1965-66,John Havlicek,2,NBA
0,1965-66,Gus Johnson,2,NBA
0,1965-66,Hal Greer,2,NBA
0,1965-66,Sam Jones,2,NBA
0,1964-65,Bill Russell,1,NBA
0,1964-65,Elgin Baylor,1,NBA
0,1964-65,Jerry Lucas,1,NBA
0,1964-65,Oscar Robertson,1,NBA
0,1964-65,Jerry West,1,NBA
0,1964-65,Wilt Chamberlain,2,NBA
0,1964-65,Gus Johnson,2,NBA
0,1964-65,Bob Pettit,2,NBA
0,1964-65,Hal Greer,2,NBA
0,1964-65,Sam Jones,2,NBA
0,1963-64,Wilt Chamberlain,1,NBA
0,1963-64,Elgin Baylor,1,NBA
0,1963-64,Bob Pettit,1,NBA
0,1963-64,Oscar Robertson,1,NBA
0,1963-64,Jerry West,1,NBA
0,1963-64,Bill Russell,2,NBA
0,1963-64,Tom Heinsohn,2,NBA
0,1963-64,Jerry Lucas,2,NBA
0,1963-64,Hal Greer,2,NBA
0,1963-64,John Havlicek,2,NBA
0,1962-63,Bill Russell,1,NBA
0,1962-63,Elgin Baylor,1,NBA
0,1962-63,Bob Pettit,1,NBA
0,1962-63,Oscar Robertson,1,NBA
0,1962-63,Jerry West,1,NBA
0,1962-63,Wilt Chamberlain,2,NBA
0,1962-63,Tom Heinsohn,2,NBA
0,1962-63,Bailey Howell,2,NBA
0,1962-63,Bob Cousy,2,NBA
0,1962-63,Hal Greer,2,NBA
0,1961-62,Wilt Chamberlain,1,NBA
0,1961-62,Elgin Baylor,1,NBA
0,1961-62,Bob Pettit,1,NBA
0,1961-62,Oscar Robertson,1,NBA
0,1961-62,Jerry West,1,NBA
0,1961-62,Bill Russell,2,NBA
0,1961-62,Tom Heinsohn,2,NBA
0,1961-62,Jack Twyman,2,NBA
0,1961-62,Bob Cousy,2,NBA
0,1961-62,Richie Guerin,2,NBA
0,1960-61,Wilt Chamberlain,1,NBA
0,1960-61,Elgin Baylor,1,NBA
0,1960-61,Bob Pettit,1,NBA
0,1960-61,Bob Cousy,1,NBA
0,1960-61,Oscar Robertson,1,NBA
0,1960-61,Bill Russell,2,NBA
0,1960-61,Tom Heinsohn,2,NBA
0,1960-61,Dolph Schayes,2,NBA
0,1960-61,Larry Costello,2,NBA
0,1960-61,Gene Shue,2,NBA
0,1959-60,Wilt Chamberlain,1,NBA
0,1959-60,Elgin Baylor,1,NBA
0,1959-60,Bob Pettit,1,NBA
0,1959-60,Bob Cousy,1,NBA
0,1959-60,Gene Shue,1,NBA
0,1959-60,Bill Russell,2,NBA
0,1959-60,Dolph Schayes,2,NBA
0,1959-60,Jack Twyman,2,NBA
0,1959-60,Richie Guerin,2,NBA
0,1959-60,Bill Sharman,2,NBA
0,1958-59,Bill Russell,1,NBA
0,1958-59,Elgin Baylor,1,NBA
0,1958-59,Bob Pettit,1,NBA
0,1958-59,Bob Cousy,1,NBA
0,1958-59,Bill Sharman,1,NBA
0,1958-59,Dolph Schayes,2,NBA
0,1958-59,Paul Arizin,2,NBA
0,1958-59,Cliff Hagan,2,NBA
0,1958-59,Richie Guerin,2,NBA
0,1958-59,Slater Martin,2,NBA
0,1957-58,Bob Pettit,1,NBA
0,1957-58,Dolph Schayes,1,NBA
0,1957-58,George Yardley,1,NBA
0,1957-58,Bob Cousy,1,NBA
0,1957-58,Bill Sharman,1,NBA
0,1957-58,Bill Russell,2,NBA
0,1957-58,Cliff Hagan,2,NBA
0,1957-58,Maurice Stokes,2,NBA
0,1957-58,Tom Gola,2,NBA
0,1957-58,Slater Martin,2,NBA
0,1956-57,Bob Pettit,1,NBA
0,1956-57,Paul Arizin,1,NBA
0,1956-57,Dolph Schayes,1,NBA
0,1956-57,Bob Cousy,1,NBA
0,1956-57,Bill Sharman,1,NBA
0,1956-57,Neil Johnston,2,NBA
0,1956-57,Maurice Stokes,2,NBA
0,1956-57,George Yardley,2,NBA
0,1956-57,Dick Garmaker,2,NBA
0,1956-57,Slater Martin,2,NBA
0,1955-56,Neil Johnston,1,NBA
0,1955-56,Paul Arizin,1,NBA
0,1955-56,Bob Pettit,1,NBA
0,1955-56,Bob Cousy,1,NBA
0,1955-56,Bill Sharman,1,NBA
0,1955-56,Clyde Lovellette,2,NBA
0,1955-56,Dolph Schayes,2,NBA
0,1955-56,Maurice Stokes,2,NBA
0,1955-56,Jack George,2,NBA
0,1955-56,Slater Martin,2,NBA
0,1954-55,Bob Cousy,1,NBA
0,1954-55,Larry Foust,1,NBA
0,1954-55,Neil Johnston,1,NBA
0,1954-55,Bob Pettit,1,NBA
0,1954-55,Dolph Schayes,1,NBA
0,1954-55,Harry Gallatin,2,NBA
0,1954-55,Slater Martin,2,NBA
0,1954-55,Vern Mikkelsen,2,NBA
0,1954-55,Paul Seymour,2,NBA
0,1954-55,Bill Sharman,2,NBA
0,1953-54,Bob Cousy,1,NBA
0,1953-54,Harry Gallatin,1,NBA
0,1953-54,Neil Johnston,1,NBA
0,1953-54,George Mikan,1,NBA
0,1953-54,Dolph Schayes,1,NBA
0,1953-54,Carl Braun,2,NBA
0,1953-54,Ed Macauley,2,NBA
0,1953-54,Jim Pollard,2,NBA
0,1953-54,Paul Seymour,2,NBA
0,1953-54,Bobby Wanzer,2,NBA
0,1952-53,Bob Cousy,1,NBA
0,1952-53,Neil Johnston,1,NBA
0,1952-53,Ed Macauley,1,NBA
0,1952-53,George Mikan,1,NBA
0,1952-53,Dolph Schayes,1,NBA
0,1952-53,Bob Davies,2,NBA
0,1952-53,Vern Mikkelsen,2,NBA
0,1952-53,Andy Phillip,2,NBA
0,1952-53,Bill Sharman,2,NBA
0,1952-53,Bobby Wanzer,2,NBA
0,1951-52,Paul Arizin,1,NBA
0,1951-52,Bob Cousy,1,NBA
0,1951-52,Ed Macauley,1,NBA
0,1951-52,George Mikan,1,NBA
0,1951-52,Bob Davies ,1,NBA 
0,1951-52, Dolph Schayes,1,NBA
0,1951-52,Larry Foust,2,NBA
0,1951-52,Vern Mikkelsen,2,NBA
0,1951-52,Andy Phillip,2,NBA
0,1951-52,Jim Pollard,2,NBA
0,1951-52,Bobby Wanzer,2,NBA
0,1950-51,Ralph Beard,1,NBA
0,1950-51,Bob Davies,1,NBA
0,1950-51,Alex Groza,1,NBA
0,1950-51,Ed Macauley,1,NBA
0,1950-51,George Mikan,1,NBA
0,1950-51,Frankie Brian,2,NBA
0,1950-51,Joe Fulks,2,NBA
0,1950-51,Dick McGuire,2,NBA
0,1950-51,Vern Mikkelsen,2,NBA
0,1950-51,Dolph Schayes,2,NBA
0,1949-50,Bob Davies,1,NBA
0,1949-50,Alex Groza,1,NBA
0,1949-50,George Mikan,1,NBA
0,1949-50,Jim Pollard,1,NBA
0,1949-50,Max Zaslofsky,1,NBA
0,1949-50,Ralph Beard,2,NBA
0,1949-50,Frankie Brian,2,NBA
0,1949-50,Al Cervi,2,NBA
0,1949-50,Fred Schaus,2,NBA
0,1949-50,Dolph Schayes,2,NBA
0,1948-49,Bob Davies,1,BAA
0,1948-49,Joe Fulks,1,BAA
0,1948-49,George Mikan,1,BAA
0,1948-49,Jim Pollard,1,BAA
0,1948-49,Max Zaslofsky,1,BAA
0,1948-49,Bob Feerick,2,BAA
0,1948-49,John Logan,2,BAA
0,1948-49,Bones McKinney,2,BAA
0,1948-49,Arnie Risen,2,BAA
0,1948-49,Kenny Sailors,2,BAA
0,1947-48,Howie Dallmar,1,BAA
0,1947-48,Bob Feerick,1,BAA
0,1947-48,Joe Fulks,1,BAA
0,1947-48,Ed Sadowski,1,BAA
0,1947-48,Max Zaslofsky,1,BAA
0,1947-48,Carl Braun,2,BAA
0,1947-48,Buddy Jeannette,2,BAA
0,1947-48,John Logan,2,BAA
0,1947-48,Stan Miasek,2,BAA
0,1947-48,Fred Scolari,2,BAA
0,1946-47,Bob Feerick,1,BAA
0,1946-47,Joe Fulks,1,BAA
0,1946-47,Bones McKinney,1,BAA
0,1946-47,Stan Miasek,1,BAA
0,1946-47,Max Zaslofsky,1,BAA
0,1946-47,Frankie Baumholtz,2,BAA
0,1946-47,Ernie Calverley,2,BAA
0,1946-47,Chick Halbert,2,BAA
0,1946-47,John Logan,2,BAA
0,1946-47,Fred Scolari,2,BAA
